INFO [2024-10-14 12:44:39]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:10:26]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuarioJorge ingresó satisfactoriamente
INFO [2024-10-14 17:16:10]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:16:31]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuarioJorge ingresó satisfactoriamente
INFO [2024-10-14 17:16:37]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:17:23]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuarioJorge ingresó satisfactoriamente
INFO [2024-10-14 17:22:18]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:22:28]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuarioJorge ingresó satisfactoriamente
INFO [2024-10-14 17:23:42]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:23:55]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuarioJorge ingresó satisfactoriamente
INFO [2024-10-14 17:23:55]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:24:23]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:24:23]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:24:23]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), Se eliminó la categoria
INFO [2024-10-14 17:24:37]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:24:37]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:24:37]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), Se eliminó la categoria
INFO [2024-10-14 17:25:06]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:25:06]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:25:06]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), Se eliminó la categoria
INFO [2024-10-14 17:25:13]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
WARNING [2024-10-14 17:25:13]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), No se pudo eliminar el elemento, El usuario no existe.
INFO [2024-10-14 17:25:18]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
WARNING [2024-10-14 17:25:18]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), No se pudo eliminar el elemento, El usuario no existe.
INFO [2024-10-14 17:25:21]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:25:21]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:25:21]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), Se eliminó la categoria
INFO [2024-10-14 17:30:46]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
WARNING [2024-10-14 17:31:03]: co.edu.uniquindio.icaja.model.Sesion.ingresar(), Usuario no existe
INFO [2024-10-14 17:31:41]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:31:43]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:32:30]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:32:30]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:32:30]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario jorge
INFO [2024-10-14 17:32:33]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:33:22]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuariojorge ingresó satisfactoriamente
INFO [2024-10-14 17:33:32]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:33:40]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuariojorge ingresó satisfactoriamente
INFO [2024-10-14 17:33:40]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:34:19]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:34:19]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:34:19]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario pepe
INFO [2024-10-14 17:34:31]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:34:31]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:34:31]: co.edu.uniquindio.icaja.controller.UsuarioController.actualizar(), Se actualizó el usuario de cedula1004827105 correctamente.
INFO [2024-10-14 17:34:59]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:34:59]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:34:59]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario juan
INFO [2024-10-14 17:35:07]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:35:07]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:35:07]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), Se eliminó la categoria
INFO [2024-10-14 17:35:15]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:35:15]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:35:15]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), Se eliminó la categoria
INFO [2024-10-14 17:35:20]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:35:20]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:35:20]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), Se eliminó la categoria
INFO [2024-10-14 17:37:54]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:41:59]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:42:03]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:42:31]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:42:31]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:42:31]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario carlitos
INFO [2024-10-14 17:42:35]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:43:27]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:43:42]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuariocarlitos ingresó satisfactoriamente
INFO [2024-10-14 17:43:42]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:46:55]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:46:57]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:47:18]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:47:18]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:47:18]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario asdasd
INFO [2024-10-14 17:47:26]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:47:29]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:47:50]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:48:51]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:49:00]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario sadasd
INFO [2024-10-14 17:49:39]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:53:37]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
WARNING [2024-10-14 17:53:47]: co.edu.uniquindio.icaja.model.Sesion.ingresar(), Usuario no existe
INFO [2024-10-14 17:54:20]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuariocarlitos ingresó satisfactoriamente
INFO [2024-10-14 17:54:20]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:55:02]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 17:55:02]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:55:02]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario po
INFO [2024-10-14 17:55:44]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:56:03]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuariocarlitos ingresó satisfactoriamente
INFO [2024-10-14 17:56:03]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:57:32]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:57:58]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuariocarlitos ingresó satisfactoriamente
INFO [2024-10-14 17:57:58]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:02:06]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:02:15]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:02:26]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:07:26]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:08:26]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:09:02]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:09:10]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuariopo ingresó satisfactoriamente
INFO [2024-10-14 18:09:10]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:36:21]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:36:50]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:37:50]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario po ingresó satisfactoriamente
INFO [2024-10-14 18:37:50]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:38:18]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 18:38:18]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:38:18]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario sadsad
INFO [2024-10-14 18:40:56]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:41:12]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:48:50]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:49:14]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario sadsad ingresó satisfactoriamente
INFO [2024-10-14 18:49:14]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:49:30]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 18:49:30]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:49:30]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario poiuy
INFO [2024-10-14 18:52:00]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:53:17]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario poiuy ingresó satisfactoriamente
INFO [2024-10-14 18:53:52]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:55:27]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario poiuy ingresó satisfactoriamente
INFO [2024-10-14 18:55:36]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:55:57]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 18:57:55]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:57:55]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario DSADSA
INFO [2024-10-14 18:59:31]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 18:59:54]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario DSADSA ingresó satisfactoriamente
INFO [2024-10-14 19:00:15]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:00:29]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario DSADSA ingresó satisfactoriamente
INFO [2024-10-14 19:00:30]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:00:52]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 19:02:37]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:02:38]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario KJHDF
INFO [2024-10-14 19:03:57]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:04:20]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:04:24]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario KJHDF ingresó satisfactoriamente
INFO [2024-10-14 19:04:24]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:04:39]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 19:04:39]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:04:39]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario SDFDSAS
INFO [2024-10-14 19:06:54]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:07:01]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario KJHDF ingresó satisfactoriamente
INFO [2024-10-14 19:07:01]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:07:20]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-14 19:07:20]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 19:07:20]: co.edu.uniquindio.icaja.controller.UsuarioController.crear(), Se ha creado el usuario WEQWE
INFO [2024-10-15 12:21:07]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-15 12:21:31]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-15 14:02:03]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-15 14:02:51]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario KJHDF ingresó satisfactoriamente
INFO [2024-10-15 14:02:51]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-15 14:03:06]: co.edu.uniquindio.icaja.controller.UsuarioController.consultar(), Se consultó el usuario
INFO [2024-10-15 14:03:06]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-15 14:03:06]: co.edu.uniquindio.icaja.controller.UsuarioController.eliminar(), Se eliminó el usuario de cedula 12345.
INFO [2024-10-16 10:11:26]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 10:16:03]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 13:08:06]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 13:08:15]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario KJHDF ingresó satisfactoriamente
INFO [2024-10-16 13:08:15]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 13:18:03]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 13:18:08]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario KJHDF ingresó satisfactoriamente
INFO [2024-10-16 13:18:08]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 15:14:36]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 15:14:41]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario KJHDF ingresó satisfactoriamente
INFO [2024-10-16 15:14:41]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 15:14:48]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 15:14:50]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-16 15:15:02]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-17 09:57:56]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-17 09:58:00]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuario KJHDF ingresó satisfactoriamente
INFO [2024-10-17 09:58:00]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
SEVERE [2024-10-17 11:08:10]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.cargarRecursoICajaXML(), src/main/resources/persistencia/respaldo (Is a directory)
SEVERE [2024-10-17 11:08:10]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.guardarRecursoICajaBinario(), src/main/resources/persistencia/respaldo (Is a directory)
SEVERE [2024-10-17 11:08:10]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.guardarRecursoICajaXML(), src/main/resources/persistencia/respaldo (Is a directory)
INFO [2024-10-17 11:08:10]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
SEVERE [2024-10-17 11:13:24]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.cargarRecursoICajaXML(), src/main/resources/persistencia/respaldo/respaldo.xml (No such file or directory)
INFO [2024-10-17 11:13:24]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.guardarRecursoICajaBinario(), Se guardó el recurso de respaldo binario correctamente
INFO [2024-10-17 11:13:24]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.guardarRecursoICajaXML(), Se guardó el recurso de respaldo xml correctamente
INFO [2024-10-17 11:13:24]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-18 10:03:41]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.cargarRecursoICajaXML(), Se cargó el recurso de respaldo xml correctamente
INFO [2024-10-18 10:03:41]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.guardarRecursoICajaBinario(), Se guardó el recurso de respaldo binario correctamente
INFO [2024-10-18 10:03:41]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.guardarRecursoICajaXML(), Se guardó el recurso de respaldo xml correctamente
INFO [2024-10-18 10:03:41]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-18 12:34:46]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.cargarRecursoICajaXML(), Se cargó el recurso de respaldo xml correctamente
INFO [2024-10-18 12:34:46]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.guardarRecursoICajaBinario(), Se guardó el recurso de respaldo binario correctamente
INFO [2024-10-18 12:34:46]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.guardarRecursoICajaXML(), Se guardó el recurso de respaldo xml correctamente
INFO [2024-10-18 12:34:46]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-19 20:52:52]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.cargarRecursoICajaXML(), Se cargó el recurso de respaldo xml correctamente
INFO [2024-10-19 20:52:52]: co.edu.uniquindio.icaja.utils.respaldo.ICajaRespaldo.guardarRecursoICajaBinario(), Se guardó el recurso de respaldo binario correctamente
